TR34756|c6_g2
TR5363|c0_g1
TR3873|c0_g2
TR32140|c9_g2
TR10122|c10_g1
TR7792|c7_g6
TR23955|c6_g1
TR17879|c0_g1
TR3207|c1_g1
TR1443|c18_g1
TR17457|c0_g1
TR30811|c7_g2
TR32690|c0_g2
TR15310|c8_g2
TR10986|c0_g1
TR25597|c1_g1
TR22813|c0_g1
TR9191|c7_g1
TR6432|c14_g1
TR9083|c0_g1
TR6621|c0_g4
TR10160|c22_g1
TR21786|c3_g2
TR7762|c3_g2
TR38928|c4_g4
TR9067|c2_g2
TR34047|c1_g2
TR19881|c5_g2
TR18156|c6_g2
TR3925|c12_g4
TR30844|c4_g2
TR23893|c4_g1
TR19906|c1_g1
TR9499|c8_g2
TR30786|c6_g1
TR15779|c0_g2
TR10974|c1_g2
TR21298|c0_g1
TR17387|c0_g2
TR21796|c0_g1
TR3566|c0_g2
TR8339|c0_g2
TR21744|c8_g1
TR31924|c0_g1
TR36614|c0_g2
TR13660|c6_g1
TR5080|c6_g1
TR6074|c10_g2
TR29146|c5_g2
TR7737|c11_g1
TR22100|c4_g1
TR105|c0_g1
TR16116|c0_g1
TR18131|c0_g1
TR25125|c1_g1
TR34128|c1_g1
TR27213|c0_g1
TR7330|c0_g2
TR23976|c2_g3
TR30789|c2_g1
TR14028|c0_g1
TR13676|c0_g1
TR13671|c1_g1
TR32588|c0_g1
TR1439|c0_g1
TR1475|c2_g1
TR6141|c0_g2
TR31262|c0_g1
TR15985|c3_g1
TR31897|c0_g2
TR19855|c0_g2
TR23886|c2_g2
TR32306|c3_g1
TR6144|c5_g1
TR24046|c3_g1
TR29179|c8_g1
TR2503|c0_g2
TR2236|c3_g1
TR31254|c7_g1
TR6121|c7_g4
TR22347|c7_g1
TR29148|c5_g2
TR25975|c1_g1
TR5040|c0_g1
TR600|c0_g1
TR7721|c9_g2
TR9902|c1_g1
TR29119|c4_g1
TR18141|c3_g1
TR7296|c0_g1
TR1462|c0_g1
TR30797|c2_g6
TR13713|c6_g1
TR29133|c0_g2
TR23606|c0_g1
TR32303|c10_g1
TR21795|c2_g1
TR14262|c0_g1
TR10984|c2_g1
TR11015|c7_g7
TR14139|c0_g1
TR17476|c0_g2
TR36420|c2_g1
TR36415|c3_g1
TR9437|c9_g2
TR14668|c1_g1
TR25597|c5_g1
TR18166|c7_g1
TR30188|c2_g1
TR29200|c3_g1
TR37015|c5_g2
TR5917|c0_g1
TR13723|c4_g1
TR210|c0_g1
TR13723|c7_g1
TR26676|c0_g1
TR38912|c2_g1
TR23343|c6_g2
TR31451|c0_g1
TR19910|c3_g1
TR9403|c1_g2
TR32317|c5_g1
TR25695|c0_g1
TR25517|c5_g1
TR19246|c0_g1
TR14528|c0_g2
TR13664|c1_g1
TR11916|c0_g1
TR36986|c2_g2
TR6435|c7_g1
TR22312|c0_g1
TR9463|c2_g2
TR17911|c2_g2
TR7339|c0_g1
TR23963|c10_g2
TR37021|c7_g1
TR16225|c0_g1
TR36402|c0_g2
TR32487|c1_g1
TR23948|c0_g4
TR6608|c1_g5
TR8456|c1_g1
TR17849|c3_g1
TR8512|c1_g1
TR6764|c0_g2
TR6388|c2_g2
TR13741|c9_g1
TR36971|c5_g1
TR6764|c0_g1
TR21757|c5_g1
TR2781|c4_g2
TR14669|c4_g1
TR9648|c1_g1
TR12850|c0_g1
TR7942|c1_g1
TR18836|c0_g1
TR22953|c0_g1
TR23327|c0_g2
TR6617|c1_g2
TR9105|c7_g1
TR21738|c1_g1
TR23930|c7_g1
TR30833|c0_g1
TR16221|c0_g1
TR23402|c0_g2
TR13730|c7_g2
TR8490|c9_g1
