"","x"
"296","TR15982|c1_g2"
"297","TR22272|c0_g2"
"298","TR21657|c0_g2"
"299","TR3270|c1_g1"
"300","TR23870|c2_g1"
"301","TR12520|c0_g1"
"302","TR34775|c3_g1"
"303","TR36554|c0_g1"
"304","TR27119|c0_g2"
"305","TR5109|c4_g1"
"306","TR11710|c2_g1"
"307","TR29110|c11_g1"
"308","TR35110|c0_g1"
"309","TR28712|c0_g3"
"310","TR13676|c0_g2"
"311","TR27816|c0_g2"
"312","TR13607|c0_g2"
"313","TR13942|c0_g1"
"314","TR34820|c13_g2"
"315","TR32287|c5_g2"
"316","TR14141|c0_g1"
"317","TR31286|c2_g2"
"318","TR20816|c0_g1"
"319","TR29148|c0_g1"
"320","TR1498|c1_g1"
"321","TR32158|c1_g2"
"322","TR9208|c0_g1"
"323","TR37055|c0_g1"
"324","TR6154|c0_g5"
"325","TR2887|c0_g1"
"326","TR6128|c2_g1"
"327","TR17550|c0_g1"
"328","TR38966|c4_g2"
"329","TR7952|c1_g1"
"330","TR21722|c0_g2"
"331","TR8495|c0_g3"
"332","TR13750|c10_g1"
"333","TR38931|c12_g1"
"334","TR25062|c1_g2"
"335","TR14021|c0_g1"
"336","TR19187|c3_g1"
"337","TR24014|c2_g3"
"338","TR13676|c0_g4"
"339","TR22897|c4_g1"
"340","TR15316|c0_g1"
"341","TR23319|c9_g1"
"342","TR1426|c4_g2"
"343","TR13223|c0_g2"
"344","TR7598|c1_g1"
"345","TR12360|c0_g1"
"346","TR21897|c0_g1"
"347","TR7307|c1_g1"
"348","TR8484|c0_g1"
"349","TR23393|c5_g1"
"350","TR32528|c1_g1"
"351","TR9065|c5_g4"
"352","TR22302|c0_g1"
"353","TR27385|c0_g1"
"354","TR37039|c2_g1"
"355","TR9906|c1_g1"
"356","TR17886|c1_g1"
"357","TR13691|c6_g2"
"358","TR19222|c1_g1"
"359","TR29182|c2_g5"
"360","TR36382|c3_g2"
"361","TR23915|c0_g1"
"362","TR9982|c3_g3"
"363","TR35961|c1_g1"
"364","TR7759|c4_g1"
"365","TR16968|c0_g1"
"366","TR5077|c7_g1"
"367","TR6166|c7_g1"
"368","TR2781|c4_g1"
"369","TR36348|c5_g1"
"370","TR14919|c0_g1"
"371","TR27643|c0_g1"
"372","TR23960|c3_g2"
"373","TR6811|c0_g1"
"374","TR2820|c0_g1"
"375","TR23914|c0_g2"
"376","TR21349|c0_g1"
"377","TR32140|c15_g2"
"378","TR35862|c1_g1"
"379","TR9244|c12_g2"
"380","TR19212|c0_g1"
"381","TR27535|c0_g2"
"382","TR201|c0_g1"
"383","TR12684|c0_g1"
"384","TR9187|c2_g1"
"385","TR24029|c0_g1"
"386","TR7568|c0_g2"
"387","TR77|c0_g1"
"388","TR23942|c0_g2"
"389","TR16062|c0_g1"
"390","TR19861|c13_g1"
"391","TR23942|c2_g3"
"392","TR36211|c13_g1"
"393","TR18230|c5_g3"
"394","TR25142|c0_g2"
"395","TR17542|c0_g1"
"396","TR1815|c0_g1"
"397","TR26410|c5_g1"
"398","TR12457|c0_g1"
"399","TR23873|c3_g1"
"400","TR37019|c3_g1"
"401","TR31865|c0_g1"
"402","TR18561|c0_g1"
"403","TR11485|c0_g3"
