"","x"
"410","TR10450|c1_g1"
"411","TR10122|c8_g1"
"412","TR8493|c1_g1"
"413","TR34829|c3_g3"
"414","TR17992|c0_g2"
"415","TR36411|c9_g1"
"416","TR9915|c0_g1"
"417","TR36434|c3_g5"
"418","TR9982|c0_g3"
"419","TR30839|c8_g3"
"420","TR6396|c1_g1"
"421","TR15750|c0_g1"
"422","TR14037|c0_g1"
"423","TR13568|c0_g2"
"424","TR24895|c0_g1"
"425","TR36404|c5_g1"
"426","TR10896|c0_g1"
"427","TR27643|c3_g1"
"428","TR19187|c1_g1"
"429","TR23915|c0_g4"
"430","TR19257|c0_g1"
"431","TR26605|c0_g1"
"432","TR32556|c1_g1"
"433","TR7816|c0_g2"
"434","TR38297|c0_g2"
"435","TR12382|c0_g1"
"436","TR38927|c5_g1"
"437","TR23380|c2_g1"
"438","TR1429|c0_g2"
"439","TR23889|c16_g1"
"440","TR9061|c11_g1"
"441","TR32208|c3_g2"
"442","TR21722|c25_g1"
"443","TR38862|c0_g2"
"444","TR17848|c11_g1"
"445","TR8329|c0_g1"
"446","TR33358|c0_g1"
"447","TR27404|c1_g1"
"448","TR14232|c0_g1"
"449","TR9549|c0_g1"
"450","TR17896|c3_g4"
"451","TR10196|c3_g2"
"452","TR23889|c1_g1"
"453","TR21780|c1_g4"
"454","TR18825|c0_g3"
"455","TR13691|c3_g1"
"456","TR18529|c0_g1"
"457","TR37342|c0_g1"
"458","TR23942|c1_g1"
"459","TR17978|c1_g1"
"460","TR8505|c10_g1"
"461","TR1405|c6_g1"
"462","TR9179|c3_g1"
"463","TR15981|c6_g1"
"464","TR27849|c0_g1"
"465","TR32287|c3_g1"
"466","TR15702|c0_g3"
"467","TR23235|c0_g1"
"468","TR9384|c0_g2"
"469","TR6151|c6_g1"
"470","TR29192|c3_g1"
"471","TR11184|c0_g2"
"472","TR17819|c9_g2"
"473","TR22269|c0_g3"
"474","TR9998|c0_g1"
"475","TR6387|c8_g1"
"476","TR36437|c0_g3"
"477","TR27404|c2_g1"
"478","TR7804|c0_g1"
"479","TR15998|c0_g1"
"480","TR22274|c0_g1"
"481","TR3884|c0_g2"
"482","TR6130|c2_g2"
"483","TR15250|c4_g2"
"484","TR594|c0_g1"
"485","TR5043|c10_g1"
"486","TR14630|c0_g1"
"487","TR6729|c2_g1"
"488","TR38327|c1_g1"
"489","TR3909|c5_g4"
"490","TR9496|c7_g1"
"491","TR32171|c0_g1"
"492","TR15254|c1_g1"
"493","TR38204|c0_g1"
"494","TR34459|c0_g2"
"495","TR10331|c0_g1"
"496","TR2215|c11_g3"
"497","TR179|c0_g1"
"498","TR29292|c0_g1"
"499","TR26404|c2_g1"
"500","TR36348|c5_g3"
"501","TR21733|c4_g1"
"502","TR3903|c7_g1"
"503","TR27436|c0_g1"
"504","TR15901|c0_g3"
"505","TR4070|c0_g1"
"506","TR21780|c1_g1"
"507","TR13689|c0_g3"
"508","TR30839|c8_g2"
"509","TR39503|c0_g3"
"510","TR31330|c1_g1"
"511","TR34815|c0_g2"
"512","TR38849|c0_g1"
"513","TR27162|c0_g1"
"514","TR2195|c1_g3"
"515","TR6114|c0_g4"
"516","TR14663|c1_g2"
"517","TR9596|c0_g2"
"518","TR38968|c0_g4"
"519","TR2775|c3_g2"
"520","TR30803|c4_g1"
"521","TR9045|c0_g1"
"522","TR36970|c2_g1"
"523","TR7894|c1_g1"
"524","TR26459|c0_g2"
"525","TR23287|c0_g2"
"526","TR32224|c6_g2"
"527","TR36348|c5_g2"
"528","TR18939|c0_g1"
"529","TR14941|c1_g1"
"530","TR27039|c0_g1"
"531","TR13211|c0_g2"
"532","TR6748|c0_g1"
"533","TR2204|c1_g2"
"534","TR32174|c0_g3"
"535","TR30792|c9_g1"
"536","TR653|c0_g1"
"537","TR51|c0_g1"
"538","TR22311|c3_g3"
"539","TR19896|c10_g2"
"540","TR22431|c0_g2"
"541","TR7581|c2_g2"
"542","TR9423|c5_g1"
"543","TR23960|c2_g1"
"544","TR32258|c4_g1"
"545","TR19237|c0_g1"
"546","TR26459|c0_g1"
"547","TR36348|c2_g1"
"548","TR14927|c3_g4"
